Date;Module;Hours;Outcome
2025-07-16;coding;2;deepseek rerun
2025-07-16;English;0;
2025-07-16;kids caring;8;family time
2025-07-17;coding;2;file path
2025-07-17;English;0,5;BBC
2025-07-17;kids caring;8;family time
2025-07-18;English;0,5;BBC
2025-07-18;coding;2;csv convert 
2025-07-18;kids caring;8;family time
2025-07-19;English;1;BBC
2025-07-19;coding;4;make sankey
2025-07-19;kids caring;5;family time
2025-07-20;English;1;watching video
2025-07-20;coding;1;Clean up environments
2025-07-20;coding;2;make sankey
2025-07-20;kids caring;5;family time
